,Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Response Letter,Closeout Letter,URL: ,Warning Codes: 
620,05/18/2022,05/18/2022,Moonlight Vapers,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
621,05/18/2022,05/18/2022,Vapor Arts LLC d/b/a Main Street Vapor Co.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
622,05/24/2022,05/02/2022,Subhlaxmi Grocers,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,
623,05/24/2022,05/02/2022,A.N.N. Imports LLC,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,
624,05/24/2022,05/13/2022,"Smart Smoke, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
625,05/24/2022,02/02/2022,"Sunny Creek Farm, Inc.",Division of Human and Animal Food Operations East III,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,12/12/2022,,
626,05/24/2022,05/11/2022,"Coastal Fresh Farms, Inc.",Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,
627,05/24/2022,05/19/2022,"Santhigram Kerala Ayurvedic Co. of U.S., Inc.",Center for Drug Evaluation and Research | CDER,Unapproved New Drugs,,,,
628,05/24/2022,05/20/2022,"Vapejoose, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
629,05/24/2022,05/20/2022,MMWTA Mothers Milk WTA,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
630,05/24/2022,04/26/2022,Cigsway,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
631,05/24/2022,05/19/2022,"Ayuryoga, Inc.",Center for Drug Evaluation and Research | CDER,Unapproved New Drug,,,,
632,05/24/2022,04/27/2022,Allure Foods LLC,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,
633,05/24/2022,04/01/2022,Las Dos Californias Inc DBA Dulceria los Cuates,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,
634,05/25/2022,05/25/2022,JVS Vapor Inc d/b/a Jacks Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
635,05/26/2022,05/26/2022,"Hope Botanicals, LLC",Center for Veterinary Medicine,Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products,,,,
636,05/26/2022,05/26/2022,"Plantacea, LLC dba Kahm",Center for Veterinary Medicine,Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products,,,,
637,05/26/2022,05/26/2022,"Haniel Concepts, Inc. DBA Free State Oils, LLC",Center for Veterinary Medicine,Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products,,,,
638,05/26/2022,05/26/2022,"Freeman and Biddy, LLC d/b/a Freedom Vapes",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
639,05/26/2022,05/26/2022,"Wick ‘N’ Vape, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
640,05/31/2022,05/23/2022,Grimann S.A. de C.V.,Center for Drug Evaluation and Research | CDER,Failure to Comply with Drug Registration and Listing Requirements,,06/24/2022,,
641,05/31/2022,05/05/2022,"Yippee Farms, LLC",Division of Human and Animal Food Operations East II,Illegal Drug Residue Animal Tissue/Adulterated,,12/02/2022,,
642,05/31/2022,03/31/2022,OsteoLife Biomedical I LLC,Office of Biological Products Operations – Division I,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,,,
643,05/31/2022,05/18/2022,"New Vitalis, LLC dba New Vitalis Pharmacy",Division of Pharmaceutical Quality Operations III,Compounding Pharmacy/Adulterated Drug Products,,,,
644,05/31/2022,03/11/2022,CAJ Food Products Inc.,Office of Human and Animal Food Operations East Division 6,New Drug/Misbranded,,08/08/2022,,
645,05/31/2022,04/28/2022,Russ Davis Wholesale Inc,Office of Human and Animal Food Operations - West Division 1,Juice HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,,
646,06/02/2022,06/02/2022,"The 505 Vapor Room, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
647,06/03/2022,06/03/2022,RAD Glass Inc d/b/a Ohmies Vape Shop,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
648,05/18/2021,05/07/2021,Selamta LLC,Division of Southeast Imports,Foreign Supplier Verification Program (FSVP),,,,
649,06/07/2022,05/04/2022,Hainan Golden Spring Foods Co. Ltd.,Center for Food Safety and Applied Nutrition (CFSAN),Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,,
650,06/07/2022,05/09/2022,Zhoushan Haichang Co. Ltd,Center for Food Safety and Applied Nutrition (CFSAN),Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,06/10/2022,,
651,06/07/2022,05/17/2022,Valley View Milling LLC,Office of Human and Animal Food- West Division II,CGMP/Medicated Feeds/Adulterated,,,,
652,06/07/2022,05/27/2022,"BonZer BrandZ LLC d/b/a BonZer VapeZ, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
653,06/07/2022,05/23/2022,"Aire-Master of America, Inc.",Division of Pharmaceutical Quality Operations III,CGMP/Finished Pharmaceuticals/Adulterated,,,,
654,06/07/2022,06/03/2022,Zerocig dba Aristo Electronic Cigars,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
655,06/07/2022,06/07/2022,"Vaporize & Accessorize, LLC, d/b/a Cloud Factory Vapes",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
656,06/07/2022,06/07/2022,Chrimar Enterprises LLC d/b/a VapeGeek,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
657,07/20/2021,07/12/2021,"Beeyoutiful.com, LLC",Office of Human and Animal Food Operations-East,New Drug/Misbranded,,06/10/2022,,
658,07/25/2022,07/25/2022,"Tiger Vapor, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
659,07/26/2022,07/08/2022,Custom Research Labs Inc.,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,,,,
660,07/26/2022,06/24/2022,Zhang Medical P.C. dba New Hope Fertility Center,Office of Biological Products Operations – Division 1,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,,,
661,07/26/2022,07/05/2022,"Bolive, Inc.",Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,
662,07/26/2022,06/30/2022,Bi-Coastal Pharma International,Office of Pharmaceutical Quality Operations Division I,CGMP/Finished Pharmaceuticals/Adulterated,,,,
663,07/26/2022,07/14/2022,"Daniel Fred Goodman, M.D./Goodman Eye Center",Center for Drug Evaluation and Research | CDER,Bioresearch Monitoring Program/Institutional Review Board (IRB),,,,
664,07/26/2022,07/15/2022,Blackout Vapors Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
665,07/26/2022,07/15/2022,"M & K On Cumberland, Inc. dba Big Cloud Vape & Tobacco",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
666,07/26/2022,07/18/2022,Jost Chemical Co.,Division of Pharmaceutical Quality Operations III,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,,,
667,07/26/2022,07/20/2022,"Guangzhou Orchard Aromatherapy & Skin Care Co., Ltd.",Center for Drug Evaluation and Research | CDER,Refusal to Provide Access to and Copying of Records,,,,
668,07/26/2022,07/21/2022,Jose Miguel Gutierrez Salas,Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated/Failure to Register and List,,,,
669,07/26/2022,05/26/2022,"Everyday Import & Export, Inc. dba Everyday Group LLC",Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,
670,08/02/2022,08/01/2022,Desert Vapors II Inc d/b/a Desert Vapors,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
671,08/02/2022,08/01/2022,Simply Vapour LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
672,08/02/2022,08/01/2022,Steamist Vape Supply,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
673,08/02/2022,08/01/2022,Yogi's Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
674,08/02/2022,08/01/2022,LDSD Vapor LLC d/b/a AtascaVapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
675,08/02/2022,08/01/2022,Yogi’s Vape Lounge,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
676,08/02/2022,08/01/2022,"CVM 3, LLC d/b/a Carolina Vapor Mill",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
677,08/02/2022,08/01/2022,"CVM 3, LLC d/b/a Carolina Vapor Mill",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
678,08/02/2022,08/01/2022,"CVM 3, LLC d/b/a Carolina Vapor Mill",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
679,08/02/2022,08/01/2022,Electrik Smoke LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
680,08/02/2022,08/01/2022,Boosted LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
681,08/02/2022,08/01/2022,Walker Trading Co. Inc. d/b/a Vape Dojo,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
682,08/02/2022,08/01/2022,Ferrum City Liquid,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
683,08/02/2022,08/01/2022,Gentleman’s Draw LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
684,08/02/2022,08/01/2022,"Cyberliquids, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
685,08/02/2022,08/01/2022,"Five Pawns, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
686,08/02/2022,08/01/2022,"Dongguan Hengtai Biotechnology, Co., Ltd d/b/a Mr. Fog",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
687,08/02/2022,07/19/2022,DSP Skin Care LLC,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated/Misbranded,,,,
688,08/02/2022,07/05/2022,Transworld International Trading Corp.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,
689,08/04/2022,08/04/2022,"Brew City Juice, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
690,08/05/2022,08/04/2022,FluxxLab LLC,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
691,08/08/2022,08/08/2022,JJDS E Cigarettes LLC d/b/a TKO Vapor Roswell,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
692,08/08/2022,08/08/2022,"Vapor-Saloon, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
693,08/09/2022,07/28/2022,"Vitti Labs, LLC",Office of Biological Products Operations – Division 2,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,,,
694,08/09/2022,07/22/2022,"Muscle Feast, LLC",Office of Human and Animal Foods – East 5,"CGMP/Manufacturing, Packaging, Labeling, or Holding Operations for Dietary Supplements/Adulterated",,,,
695,08/09/2022,08/04/2022,"Amazon.com, Inc.",Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug,,,,
696,08/09/2022,08/04/2022,JB Exchange Inc./Justified Laboratories,Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug,,,,
697,08/09/2022,08/04/2022,Ariella Naturals,Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug,,,,
698,08/09/2022,07/12/2022,Zyno Medical LLC,Office of Medical Devices and Radiological Health Operations Div. 1 East,CGMP/QSR/Medical Devices/Adulterated,,,,
699,08/09/2022,06/16/2022,InfuTronix LLC,Office of Medical Devices and Radiological Health Operations Div. 1 East,CGMP/QSR/Medical Devices/Adulterated,,,,
700,08/09/2022,08/03/2022,Valley Biosystems,Center for Biologics Evaluation and Research (CBER),Bioresearch Monitoring Program,,10/18/2022,,
701,08/11/2022,08/11/2022,Boardwalk Elixir,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
702,08/11/2022,08/11/2022,The Juice Bar,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
703,08/16/2022,08/08/2022,"Oregon’s Wild Harvest, Inc.",Division of Human and Animal Food Operations West VI,"CGMP/Manufacturing, Packaging, Labeling, or Holding Operations for Dietary Supplements/Adulterated",,,,
704,08/16/2022,03/30/2022,Verde Cosmetic Labs LLC,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,,,,
705,08/16/2022,08/10/2022,"Cangene BioPharma, LLC dba Emergent BioSolutions",Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,,,,
706,08/16/2022,07/29/2022,"Deggeh Foods, Inc.",Office of Human and Animal Food Operations East – Division 1,Unapproved New Drugs/Misbranded,,,,
707,08/16/2022,07/28/2022,EH Maldonado and Company,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,
708,08/16/2022,07/21/2022,Cantoro Food Market,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,
709,08/16/2022,08/12/2022,Rev Products LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
710,08/16/2022,08/12/2022,Vapewell Supply LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
711,08/16/2022,08/16/2022,Vape NV LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
712,08/17/2022,08/17/2022,Meddle Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
713,08/18/2022,08/18/2022,"VPR Brands, LP d/b/a Krave Nic",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
714,08/18/2022,08/18/2022,"Rip It Vapors, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
715,08/18/2022,08/18/2022,Prestige Worldwide Worldwide LLC d/b/a Vape 911,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
716,08/22/2022,08/22/2022,Rock Drummer Vapors LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
717,04/27/2021,04/15/2021,"K & K Distribution, Inc.",Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,
718,08/23/2022,08/12/2022,BLB7 LLC dba The Vape Mall,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
719,08/23/2022,08/02/2022,"Ridley USA, Inc. dba Hubbard Feeds, Inc.",Office of Human and Animal Foods West Division II,CGMP/Animal Food/Adulterated,,,,
720,08/23/2022,08/11/2022,Mom and Pop Vapor Shop,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
721,08/23/2022,08/16/2022,Tramadol US,Center for Drug Evaluation and Research | CDER,Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet,,,,
722,08/23/2022,08/11/2022,"DNA Distributors, Inc. d/b/a Just Juice",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
723,08/23/2022,08/11/2022,"Top Class Ejuice, Inc. d/b/a The Dollar E-Juice Club",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
724,08/23/2022,08/19/2022,Adrenaline Vapors LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
725,08/23/2022,08/19/2022,Wadina Distribution Company LLC d/b/a Gost Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
726,08/23/2022,08/23/2022,ADP Marketing LLC d/b/a Vaporistic,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
727,08/23/2022,08/23/2022,Singing Hawk LLC d/b/a Sin City Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
728,08/24/2022,08/24/2022,"KA Vapes, LLC d/b/a Kickin’ Ash",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
729,08/30/2022,08/05/2022,"Nutritional Laboratories International, Inc. DBA Elite One Source Nutritional Services, Inc.",Office of Human and Animal Food Operations – West Division 6,CGMP/Dietary Supplement/Adulterated/Misbranded,,,,
730,08/30/2022,08/15/2022,First Strike Pet Products,Center for Veterinary Medicine,Unapproved New Animal Drug Products,,,,
731,08/30/2022,08/19/2022,Vapor Invasion LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
732,08/30/2022,08/03/2022,USA Medical LLC,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,,,
733,08/30/2022,08/24/2022,Good Guy Vapes Lab LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
734,08/30/2022,08/15/2022,"The Elderberry Fairy & Co., LLC",Office of Human and Animal Food Operations East Division 6,Unapproved New Drugs/Misbranded,,,,
735,08/30/2022,08/17/2022,Gordon Laboratories Inc.,Division of Pharmaceutical Quality Operations IV,Drug Product/Adulterated,,,,
736,08/30/2022,08/19/2022,"Green Wave Analytical, LLC",Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,,,,
737,09/01/2022,09/01/2022,Singing Hawk LLC d/b/a Sin City Vapor III,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
738,09/06/2022,08/31/2022,Dragon Vapors LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
739,09/06/2022,08/31/2022,Heights Vapor Station,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
740,09/06/2022,08/26/2022,MUUV Holdings Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
741,09/06/2022,08/26/2022,TVC Management Corp d/b/a The Vapor Chef,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
742,09/06/2022,08/26/2022,Ace Moist Snuff Inc. d/b/a Outlaw Dip,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
743,09/06/2022,08/16/2022,Mexia Pallets LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,
744,09/06/2022,08/23/2022,Visvita Corporation,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,
745,09/06/2022,08/22/2022,Bharat Ratan LLC,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,
746,09/06/2022,08/02/2022,"Mercado Hispano Distributors, LLC",Division of Southeast Imports,Foreign Supplier Verification Program (FSVP),,,,
747,09/06/2022,08/08/2022,Mina Global Trading Corp,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,
748,09/06/2022,08/03/2022,Blue Stone Import USA Inc.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,
749,09/06/2022,08/23/2022,Jones Affiliated Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,
750,09/06/2022,09/01/2022,HP Industries Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
751,09/06/2022,09/01/2022,Bootstrap Runners LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
752,09/06/2022,08/04/2022,Brew City Juice LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
753,09/06/2022,08/17/2022,"Sun Sen Co., Inc.",Office of Human and Animal Food Operations – West Division 5,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,,
754,09/07/2022,08/19/2022,Mixology Ltd d.b.a. Mixology Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
755,09/08/2022,09/08/2022,Singing Hawk LLC d/b/a Sin City Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
756,09/08/2022,09/08/2022,Staccato Ventures LLC d/b/a Carolina Vape Kings,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
757,09/08/2022,09/08/2022,"SWMO Vape Shop, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
758,09/08/2022,09/08/2022,American Smoking Cessation Corp d/b/a Yeti Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
759,09/13/2022,07/28/2022,The Royal Ice Cream Company Inc.,Office of Human and Animal Food Operations East – Division 1,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated/L. monocytogenes",,,,
760,09/13/2022,08/15/2022,CR Grupo Comercial Alvacora S.A.,Center for Food Safety and Applied Nutrition (CFSAN),Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,,
761,09/13/2022,08/15/2022,Vlazar Costa Caribe S.A.,Center for Food Safety and Applied Nutrition (CFSAN),Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,,
762,09/13/2022,08/15/2022,Mahi Frozen Foods,Center for Food Safety and Applied Nutrition (CFSAN),Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,,
763,09/13/2022,08/30/2022,Myllan-ORA ehf,Center for Food Safety and Applied Nutrition (CFSAN),Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,,
764,09/13/2022,08/11/2022,Mad Buck Vapes Inc d/b/a Detroit Rock Candy,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
765,09/13/2022,08/19/2022,"Vape Hut, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
766,09/13/2022,08/19/2022,10 Days Inc d/b/a Pod Juice,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
767,09/13/2022,08/19/2022,J Vapes LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
768,09/13/2022,07/29/2022,Chaur Fong Inc. dba 888 Food Company,Office of Human and Animal Food Operations – West Division 5,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,,
769,09/13/2022,09/07/2022,"Doc Ike Retail, LLC d/b/a Bama Vapor",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
770,09/13/2022,09/07/2022,"Osment Enterprises, LLC d/b/a The Vapor Apothecary",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
771,09/13/2022,08/29/2022,"Texas Longhorn RX, LLC","Office of Pharmaceutical Quality Operations, Division II",Compounding Pharmacy/Adulterated Drug Products,,,,
772,09/13/2022,08/02/2022,Kuzmir Imports Inc.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,
773,09/13/2022,09/02/2022,Banks Square Market Corp. dba The Produce Connection,Office of Human and Animal Food Operations - East Division 1,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated/L. monocytogenes",,,,
774,09/13/2022,08/18/2022,Countryside Feed LLC,Office of Human and Animal Food West Division II,CGMP/Animal Food/Adulterated,,,,
775,09/13/2022,09/01/2022,Virgin Scent Inc. dba Artnaturals,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,,,,
776,09/13/2022,09/02/2022,Sanitizer Supply LLC,"Office of Pharmaceutical Quality Operations, Division II",CGMP/Finished Pharmaceuticals/Adulterated,,,,
777,09/13/2022,09/13/2022,Team MC Inc. d/b/a Community Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
778,09/13/2022,09/13/2022,U.S. Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
779,09/13/2022,09/13/2022,Freaz LLC d/b/a Vapor Wize,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
780,09/15/2022,09/15/2022,The Vapor Studio LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
781,09/15/2022,09/15/2022,Massive Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
782,09/16/2022,09/16/2022,"Billet Box Vapor, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
783,09/20/2022,07/25/2022,Bacocas Enterprises Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,
784,09/20/2022,08/23/2022,"BioLab Sciences, Inc.",Office of Biological Products Operations – Division 2,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,,,
785,09/20/2022,09/02/2022,"Myscsz3, LLC dba Bluebird E-Liquid",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
786,09/20/2022,09/09/2022,Trees Vape Supply LLC d/b/a Tea Time Eliquid Co.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
787,09/20/2022,09/14/2022,Freedom Smoke USA International dba Freedom Smoke USA Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
788,09/21/2022,09/21/2022,Vapor Magic,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
789,09/22/2022,09/22/2022,"Juicemafia, Inc d/b/a Ecig-Works",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
790,09/22/2022,09/22/2022,Staccato Ventures LLC d/b/a Carolina Vape Kings,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
