,Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Response Letter,Closeout Letter,URL: ,Warning Codes: ,Letter Content
1389,10/15/2019,09/27/2019,North Texas Vapor Shop,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,11/25/2020,,,
1390,10/22/2019,10/09/2019,"Pollman's Bake Shops, Inc.",Division of Human and Animal Food Operations East V,"CGMP Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,,,
1391,10/22/2019,10/11/2019,"DSM Nutritional Products, LLC",Division of Human and Animal Food Operations West III,Adultered Animal Food/Misbranded,,06/12/2020,,,
1392,10/22/2019,07/12/2019,Bowser Trading Corporation d/b/a High Seas E Liquid Trading Company,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1393,10/22/2019,09/10/2019,"Jiangsu NHWA Pharmaceutical Co., Ltd.",Center for Drug Evaluation and Research,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,,,,
1394,10/22/2019,09/27/2019,James Audi d/b/a The Broke Smoker,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1395,10/22/2019,10/10/2019,"Sofie Co., dba Sofie",Division of Pharmaceutical Quality Operations II,CGMP/Positron Emission Tomography (PET) Drugs/Adulterated,,,,,
1396,10/22/2019,06/04/2019,"Paisley Farms, LLC dba Paisley Farm & Crafts",Division of Human and Animal Food Operations East V,CGMP/Dietary Supplement/Adulterated/Misbranded,,04/08/2021,,,
1397,10/22/2019,10/10/2019,Rooted Apothecary LLC,Center for Drug Evaluation and Research,Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products,,,,,
1398,10/22/2019,08/22/2019,VapeLoft Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1399,10/22/2019,09/30/2019,"OTT Enterprises, LLC d/b/a Tobacco Barn",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1400,10/22/2019,08/22/2019,Busscatello Enterprises LLC d/b/a Route 66 Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1401,10/24/2019,10/24/2019,"Eonsmoke, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1402,10/29/2019,09/27/2019,Black Axis Juice Company LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1403,10/29/2019,10/25/2019,E-Cigarette-Mart.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1404,10/29/2019,10/17/2019,PETNET Solutions Inc.,Division of Pharmaceutical Quality Operations I,CGMP/Positron Emission Tomography (PET) Drugs/Adulterated,,05/24/2022,,,
1405,10/29/2019,08/22/2019,TopVapors.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1406,11/05/2019,10/08/2019,K-Pra Foods Private Limited,Center for Food Safety and Applied Nutrition,Acidified Foods/Emergency Permit Control/Adulterated,,,,,
1407,11/05/2019,10/24/2019,CueCig,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1408,11/05/2019,10/03/2019,"Bingbing Pharmaceutical Co., Ltd",Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1409,11/05/2019,10/25/2019,"The Vapor Hut, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1410,11/05/2019,10/16/2019,"Revital U International, LLC",Office of Human and Animal Food Operations West Division 3,CGMP/Dietary Supplement/Adulterated,,,,,
1411,11/05/2019,10/29/2019,"Dr Jen Hartley/Healing Artistry, LLC",Division of Pharmaceutical Quality Operations IV,New Animal Drug/Adulterated,,,,,
1412,11/12/2019,10/29/2019,Cadila Healthcare Limited,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,,11/28/2022,,,
1413,11/12/2019,10/22/2019,"Kwokcheng Enterprise, Inc. dba Fullei Fresh",Office of Human and Animal Food Operations East Division IV,Food/Prepared Packed or Held Under Insanitary Conditions/Adulterated,,,,,
1414,11/12/2019,07/09/2019,"Farmville Discount Drug, Inc. DBA Best Value Drug","Office of Pharmaceutical Quality Operations, Division II",Compounding Pharmacy/Adulterated Drug Products,,,,,
1415,11/05/2019,10/29/2019,Strong Fertility Center,Office of Biological Products Operations – Division I,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,12/22/2020,,,
1416,05/14/2019,04/23/2019,Contacare Ophthalmics & Diagnostics,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated/Unapproved/Misbranded,,,,,
1417,11/12/2019,10/31/2019,"Swabplus, L.P.",Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1418,11/12/2019,10/24/2019,"MSM Nutraceuticals, LLC dba MSM Health Solutions",Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1419,11/12/2019,11/05/2019,Mylan Laboratories Limited - Unit 8,Center for Drug Evaluation and Research,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,,,,
1420,11/14/2019,11/06/2019,"Greenbrier International, Inc dba Dollar Tree",Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1421,10/06/2020,09/25/2020,"Dole Fresh Vegetables, Inc.",Division of Human and Animal Food Operations West V,Food Labeling/Misbranded,,,,,
1422,10/06/2020,09/03/2020,Essential Pharmaceutical Corp,Division of Human and Animal Food Operations West V,Unapproved New Drugs/Misbranded,,,,,
1423,10/06/2020,09/24/2020,"LEC Custom Products, Inc.",Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1424,10/06/2020,09/22/2020,Currax Pharmaceuticals LLC,Center for Drug Evaluation and Research | CDER,False & Misleading Claims/Misbranded,,,,,
1425,10/06/2020,09/30/2020,Zainy Electronic Cigarette,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1426,10/06/2020,08/27/2020,"We Vape USA, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1427,10/06/2020,09/22/2020,Nephron SC Inc.,Office of Prescription Drug Promotion,False & Misleading Claims/Misbranded,,03/16/2021,,,
1428,10/06/2020,08/21/2020,The Nic Salt,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1429,10/07/2020,10/07/2020,Battelle Memorial Institute,Center for Devices and Radiological Health,Quality System Regulation for Medical Device Reporting/Adulterated,,11/29/2021,,,
1430,10/02/2018,09/21/2018,"Empire Imports, LLC d/b/a Vapor Solo USA",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1431,10/02/2018,09/21/2018,"Cloud 9 Systems, LLC d/b/a Cloud 9 Vapor",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1432,10/02/2018,09/21/2018,Smoke and Vape DZ LLC d/b/a 2nd Wife Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1433,10/30/2018,10/11/2018,"Ozone Smoke, Inc",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1434,10/08/2020,10/07/2020,Prairie Dawn Herbs,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1435,10/08/2020,10/07/2020,Griffo Botanicals,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1436,04/24/2018,04/05/2018,Ming Fai Industrial -Shenzhen Co LTD,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1437,10/13/2020,10/06/2020,"Haloderm, Inc.",Center for Drug Evaluation and Research | CDER,Unapproved New Drugs/Misbranded,,,,,
1438,10/13/2020,08/18/2020,Raw Advantage Processing LLC,Division of Human and Animal Food Operations West VI,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated/L. monocytogenes",,,,,
1439,10/13/2020,09/24/2020,Saratoga Potato Chips LLC,Division of Human and Animal Food Operations East VI,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,,,
1440,10/13/2020,10/01/2020,USARxMedicine,Center for Drug Evaluation and Research | CDER,Unlawful Sale of Unapproved and Misbranded Opioids to United States Consumers Over the Internet,,,,,
1441,10/13/2020,10/06/2020,Oneness Labs,Center for Drug Evaluation and Research | CDER,Unapproved New Drugs/Misbranded,,,,,
1442,10/13/2020,10/09/2020,Daily Manufacturing Company,Center for Food Safety and Applied Nutrition (CFSAN),Dietary Supplement/Adulterated/Cesium Chloride,,02/02/2021,,,
1443,10/13/2020,10/09/2020,American Nutriceuticals LLC,Center for Food Safety and Applied Nutrition (CFSAN),Dietary Supplement/Adulterated/Cesium Chloride,,02/01/2021,,,
1444,10/13/2020,10/09/2020,Complete H2O Minerals Corporation,Center for Food Safety and Applied Nutrition (CFSAN),Dietary Supplement/Adulterated/Cesium Chloride,,,,,
1445,10/13/2020,10/09/2020,"The Mineral Store, Inc./Elemental Research, Inc.",Center for Food Safety and Applied Nutrition (CFSAN),Dietary Supplement/Adulterated/Cesium Chloride,,02/02/2021,,,
1446,10/13/2020,10/09/2020,"Essense Of Life, LLC",Center for Food Safety and Applied Nutrition (CFSAN),Dietary Supplement/Adulterated/Cesium Chloride,,02/02/2021,,,
1447,10/19/2020,10/16/2020,For Our Vets LLC dba Patriot Supreme,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1448,10/20/2020,10/09/2020,RLC Labs Inc.,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1449,10/20/2020,09/25/2020,Medoz Pharmacy of Polk Inc,Office of Pharmaceutical Quality Operations Division II,Compounding Pharmacy/Adulterated Drug Products,,,,,
1450,10/20/2020,10/09/2020,Before Brands Inc,Center for Food Safety and Applied Nutrition (CFSAN),New Drug/Misbranded,,,,,
1451,10/20/2020,05/22/2020,Dorsett Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1452,10/20/2020,09/24/2020,V-Nine Inc.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,,
1453,10/20/2020,09/29/2020,"The Lennox, International, Inc.",Division of Human and Animal Food Operations East II,CGMP/Animal Food/Adulterated,,11/23/2022,,,
1454,10/20/2020,10/07/2020,Aspen Sales Group,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,,
1455,10/20/2020,10/09/2020,Prollergy Corporation/Ready Set Food,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved New Drugs/Misbranded,,,,,
1456,10/27/2020,10/15/2020,"Quimica Magna de Mexico, S.A. de C.V.",Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1457,10/27/2020,10/08/2020,"KVK-Tech, Inc.",Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1458,10/27/2020,10/09/2020,Shilpa Medicare Limited,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1459,10/27/2020,10/06/2020,Everything Aquatic,Center for Veterinary Medicine,Unapproved New Animal Drug Products,,,,,
1460,10/27/2020,10/16/2020,OCM Group USA Inc.,Division of West Coast Import,Foreign Supplier Verification Program (FSVP),,,,,
1461,10/27/2020,10/19/2020,"Mr Frags, LLC",Center for Veterinary Medicine,Unapproved Chloroquine Phosphate Product,,,,,
1462,10/27/2020,10/13/2020,Ramar International Corporation,Division of Human and Animal Food Operations West V,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated/L. monocytogenes",,,,,
1463,10/28/2020,10/23/2020,Predator Nutrition,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,01/29/2021,,,
1464,10/28/2020,10/23/2020,Peterson Research Laboratories LLC,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1465,10/28/2020,10/23/2020,Beepothecary LLC,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1466,11/02/2020,10/30/2020,Spartan Enterprises Inc. dba Watershed Wellness Center,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1467,11/03/2020,10/29/2020,"Asiaticon, SA de CV",Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1468,11/03/2020,10/23/2020,"4E Global, S.A.P.I. de C.V.",Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1469,11/03/2020,10/23/2020,"Grupo Insoma, S.A.P.I de CV",Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1470,11/03/2020,10/09/2020,Surgery Pharmacy Services Inc,Division of Pharmaceutical Quality Operations II,Compounding Pharmacy/Adulterated Drug Products,,,,,
1471,11/03/2020,10/27/2020,Real Clean Distribuciones SA de CV,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1472,11/03/2020,10/16/2020,"Immusist, LLC",Division of Human and Animal Food Operations West VI,New Drug/Misbranded,,03/11/2021,,,
1473,11/03/2020,10/22/2020,Handylee USA Corp.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,,
1474,11/03/2020,10/15/2020,"Cosmax USA, Inc.",Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1475,11/03/2020,10/20/2020,Fresh Express Inc - Div of Chiquita Brands,Office of Human and Animal Food Operations East -VI,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,11/29/2021,,,
1476,11/03/2020,10/29/2020,"Bake’N Joy Foods, Inc.",Division of Human and Animal Food Operations East I,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,01/18/2022,,,
1477,11/03/2020,11/02/2020,"NovaBay Pharmaceuticals, Inc.",Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1478,11/03/2020,10/15/2020,LVWellness & Aesthetics,Center for Devices and Radiological Health,"Unapproved, Adulterated, and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19)",,,,,
1479,11/03/2020,10/05/2020,"Physician 360, Inc.",Center for Devices and Radiological Health,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1480,11/03/2020,10/29/2020,Trask and Roth Inc. dba Trask & Roth Research and Manufacturing,Center for Devices and Radiological Health,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1481,11/10/2020,10/28/2020,Eagles Song Health and Wellness LLC,Division of Human and Animal Food Operations West VI,New Drug/Misbranded,,,,,
1482,11/10/2020,10/27/2020,"Italfoods, Inc.",Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,,
1483,11/10/2020,11/04/2020,Nartex Laboratorios Homeopaticos S.A. de C.V.,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1484,11/10/2020,10/27/2020,"World Nutrition, Inc.",Division of Human and Animal Food Operations West IV,New Drug/Misbranded,,,,,
1485,11/10/2020,10/29/2020,Natural Sprout Co. LLC,Division of Human and Animal Food Operations West II,New Drug/Misbranded,,09/06/2022,,,
1486,11/17/2020,10/08/2020,"WCS Trading, Inc.",Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,,
1487,11/17/2020,11/04/2020,E&H Distributors LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,,
1488,11/17/2020,11/06/2020,Grupo Asimex de Mexico SA de CV,Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1489,11/17/2020,11/05/2020,"Quten Research Institute, LLC",Division of Human and Animal Food Operations East II,New Drug/Misbranded,,07/02/2021,,,
1490,11/17/2020,11/05/2020,"Etai's Food, Inc.",Division of Human and Animal Food Operations West IV,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,,,
1491,11/17/2020,11/06/2020,"Family Pharmacy of Statesville, Inc.",Division of Pharmaceutical Quality Operations II,Compounding Pharmacy/Adulterated Drug Products,,,,,
1492,11/17/2020,11/03/2020,World Candy Store LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,,
1493,11/17/2020,10/28/2020,Ventura Foods LLC,Division of Human and Animal Food Operations East V,Food Labeling/Misbranded,,09/28/2021,,,
1494,11/17/2020,11/10/2020,"MXL Comercial, SA de CV",Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1495,11/17/2020,11/03/2020,Half Hill Farm Inc,Division of Human and Animal Food Operations East V,New Drug/Misbranded,,09/28/2021,,,
1496,11/10/2020,11/06/2020,"JG Atlas Comercios, SA de CV",Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1497,11/19/2020,11/18/2020,"Pro Breath MD, LLC dba Dentist Select and OraCare",Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1498,11/20/2020,11/18/2020,"Vibrant Health Care, Inc.",Center for Biologics Evaluation and Research (CBER),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1499,11/24/2020,11/16/2020,Harmonic Nature S. de R.L. MI.,Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1500,11/24/2020,11/19/2020,Liq-E S.A. De C.V.,Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1501,11/24/2020,10/16/2020,"Aurolife Pharma, LLC",Division of Pharmaceutical Quality Operations I,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1502,04/28/2020,04/17/2020,"Carroll-Baccari, Inc. dba Mavidon Medical Products",Division of Medical Device and Radiological Health Operations Central,CGMP/QSR/Medical Devices/Adulterated,,,,,
1503,12/01/2020,10/06/2020,West Coast Nuclear Pharmacy,Division of Pharmaceutical Quality Operations II,Compounding Pharmacy/Adulterated Drug Products,,,,,
1504,12/01/2020,10/20/2020,"ForYou, Inc.",Division of Human and Animal Food Operations East III,CGMP/Dietary Supplement/Adulterated/Misbranded,,,,,
1505,12/01/2020,11/24/2020,"Frito-Lay, Inc.",Division of Human and Animal Food Operations West III,"CGMP Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,,,
1506,12/01/2020,11/18/2020,Red Moon Herbs,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,02/01/2021,,,
1507,12/01/2020,11/10/2020,"Sage Woman Herbs, Ltd. dba Sage Consulting & Apothecary",Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,01/29/2021,,,
1508,12/01/2020,11/17/2020,Innovative Medicine LLC,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,03/26/2021,,,
1509,12/01/2020,11/23/2020,Industry Lab Diagnostic Partners,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,,,,
1510,12/01/2020,11/17/2020,ChromaDex,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1511,12/01/2020,11/30/2020,"Avazo-Healthcare, LLC",Center for Devices and Radiological Health,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1512,12/03/2020,12/02/2020,Rat's Army,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1513,12/08/2020,11/30/2020,"Valentus, Inc.",Division of Human and Animal Food Operations West I,New Drug/Misbranded,,07/30/2021,,,
1514,12/08/2020,12/01/2020,"Mushroom Revival, Inc.",Division of Human and Animal Food Operations East I,New Drug/Misbranded,,,,,
1515,12/08/2020,11/24/2020,Mexi-Land Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,,
1516,12/08/2020,11/20/2020,Natures Boost LLC,Division of Human and Animal Food Operations West VI,New Drug/Misbranded,,04/22/2021,,,
1517,12/08/2020,12/01/2020,Corporativo Bureli S.A. de C.V.,Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1518,12/08/2020,12/07/2020,Paradigm RE LLC,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1519,12/11/2020,12/10/2020,Indigenous Products,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1520,12/11/2020,12/10/2020,iThrive.health,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1521,12/11/2020,12/02/2020,Heavenly Natural Products,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,02/01/2021,,,
1522,12/11/2020,12/02/2020,"Health & Wellness Center International One, L.L.C. dba Hotze Vitamins",Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1523,12/15/2020,10/29/2020,JC Ayur Life LLC,Division of Human and Animal Food Operations West V,Dietary Supplement/New Drug/Misbranded,,,,,
1524,12/15/2020,12/04/2020,Desert Alchemist LLC,Division of Human and Animal Food Operations West IV,New Drug/Misbranded,,,,,
1525,12/15/2020,12/02/2020,"Smoky Mountain Naturals, LLC",Division of Human and Animal Food Operations East V,New Drug/Misbranded,,,,,
1526,12/16/2020,12/15/2020,"Phoenix Biotechnology, Inc.",CDER Office of Compliance,Finished Pharmaceuticals/Unapproved new drug,,,,,
1527,12/21/2020,12/18/2020,Rowpar Pharmaceuticals,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1528,12/22/2020,12/11/2020,"Campimex, Inc.",Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,,
1529,12/22/2020,12/16/2020,Whole Foods Market,Center for Food Safety and Applied Nutrition (CFSAN),Food Labeling/Misbranded,,,,,
1530,12/22/2020,08/25/2020,Customceutical Compounding,Division of Pharmaceutical Quality Operations IV,Compounding Pharmacy/Adulterated Drug Products,,,,,
1531,12/22/2020,12/22/2020,Bee Delightful,Division of Human and Animal Food Operations West III,Unapproved New Drugs/Misbranded,,,,,
1532,12/22/2020,12/22/2020,"New Leaf Pharmaceuticals, LLC",Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,,,,
1533,12/22/2020,12/22/2020,"NextL3vel Services Group, LLC dba This Stuff Is Good For You",Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1534,12/22/2020,12/22/2020,Wellness BioSciences Rx,Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1535,12/22/2020,12/22/2020,"G & L Wellness, LLC",Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,,,,
1536,12/29/2020,12/03/2020,"Clientele, Inc.",Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
1537,12/29/2020,12/21/2020,"Broncolin, S.A. de C.V.",Center for Drug Evaluation and Research | CDER,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
1538,12/29/2020,12/21/2020,Sparrow Health & Performance LLC,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,04/06/2021,,,
1539,12/29/2020,12/21/2020,Riverstone LLC,Center for Food Safety and Applied Nutrition (CFSAN),Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,03/22/2021,,,
1540,01/05/2021,12/18/2020,Reddy Naturals,Division of Human and Animal Food Operations East III,New Drug/Misbranded,,,,,
1541,01/05/2021,01/04/2021,Coco's Holistic Specialties & Apothecary,Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
1542,01/07/2021,01/07/2021,Gorilla Vapes of Vineland,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1543,01/12/2021,11/17/2020,Bonagens,Division of Human and Animal Food Operations East III,New Drug/Misbranded,,,,,
1544,01/12/2021,12/22/2020,"Speedwinds Nutrition, Inc.",Division of Human and Animal Food Operations West VI,New Drug/Misbranded,,06/28/2021,,,
1545,01/12/2021,12/28/2020,"Smarter Nutrition, Inc.",Division of Human and Animal Food Operations West V,New Drug/Misbranded,,,,,
1546,01/12/2021,12/21/2020,"Infuscience, Inc. dba Bioscrip Infusion Services",Division of Pharmaceutical Quality Operations I,Compounding Pharmacy/Adulterated Drug Products,,,,,
1547,01/15/2021,01/15/2021,Dr Crimmy LLC d/b/a Dr. Crimmy’s V-Liquid,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/16/2021,,,
1548,01/15/2021,01/15/2021,"Barn Brew LLC dba E-Cig Barn, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/07/2022,,,
1549,01/15/2021,01/15/2021,Castle Rock Vapor LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/08/2021,,,
1550,01/15/2021,01/15/2021,"CLS Trading, LLC d/b/a Vape Dudes HQ",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,07/19/2021,,,
1551,01/15/2021,01/15/2021,"Little House Vapes, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1552,01/15/2021,01/15/2021,"CMM Capital, LLC d/b/a ETX Vape",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
1553,01/15/2021,01/15/2021,Session Supply Co.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/22/2021,,,
1554,01/15/2021,01/15/2021,Coastal E-Liquid Laboratory/GC Vapors LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
